Vgs,Vds,Ids
0.8,4.15,0.05312653084220932
0.8,4.2,0.053175585810669355
0.8,4.25,0.053224640779129376
0.8,4.3,0.05327369574758941
0.8,4.3500000000000005,0.05332275071604942
0.8,4.4,0.05337180568450946
0.8,4.45,0.05342086065296948
0.8,4.5,0.05346991562142951
0.8,4.55,0.05351897058988954
0.8,4.6000000000000005,0.053568025558349566
0.8,4.65,0.05361708052680959
0.8,4.7,0.05366613549526962
0.8,4.75,0.05371519046372964
0.8,4.800000000000001,0.053764245432189675
0.8,4.8500000000000005,0.053813300400649695
0.8,4.9,0.05386235536910973
0.8,4.95,0.05391141033756975
0.8191919191919192,0.0,0.0
0.8191919191919192,0.05,0.030694326464280462
0.8191919191919192,0.1,0.05107928025416389
0.8191919191919192,0.15000000000000002,0.06112381136965026
0.8191919191919192,0.2,0.06229697538182154
0.8191919191919192,0.25,0.062359024162082305
0.8191919191919192,0.30000000000000004,0.06242107294234309
0.8191919191919192,0.35000000000000003,0.062483121722603854
0.8191919191919192,0.4,0.06254517050286464
0.8191919191919192,0.45,0.06260721928312542
0.8191919191919192,0.5,0.0626692680633862
0.8191919191919192,0.55,0.06273131684364698
0.8191919191919192,0.6000000000000001,0.06279336562390776
0.8191919191919192,0.65,0.06285541440416853
0.8191919191919192,0.7000000000000001,0.06291746318442933
0.8191919191919192,0.75,0.0629795119646901
0.8191919191919192,0.8,0.06304156074495088
0.8191919191919192,0.8500000000000001,0.06310360952521164
0.8191919191919192,0.9,0.06316565830547242
0.8191919191919192,0.9500000000000001,0.0632277070857332
0.8191919191919192,1.0,0.06328975586599399
0.8191919191919192,1.05,0.06335180464625476
0.8191919191919192,1.1,0.06341385342651554
0.8191919191919192,1.1500000000000001,0.06347590220677632
0.8191919191919192,1.2000000000000002,0.0635379509870371
0.8191919191919192,1.25,0.06359999976729788
0.8191919191919192,1.3,0.06366204854755866
0.8191919191919192,1.35,0.06372409732781943
0.8191919191919192,1.4000000000000001,0.06378614610808021
0.8191919191919192,1.4500000000000002,0.06384819488834098
0.8191919191919192,1.5,0.06391024366860178
0.8191919191919192,1.55,0.06397229244886254
0.8191919191919192,1.6,0.06403434122912333
0.8191919191919192,1.6500000000000001,0.0640963900093841
0.8191919191919192,1.7000000000000002,0.06415843878964488
0.8191919191919192,1.75,0.06422048756990567
0.8191919191919192,1.8,0.06428253635016645
0.8191919191919192,1.85,0.06434458513042722
0.8191919191919192,1.9000000000000001,0.064406633910688
0.8191919191919192,1.9500000000000002,0.06446868269094877
0.8191919191919192,2.0,0.06453073147120955
0.8191919191919192,2.0500000000000003,0.06459278025147033
0.8191919191919192,2.1,0.06465482903173111
0.8191919191919192,2.15,0.06471687781199188
0.8191919191919192,2.2,0.06477892659225266
0.8191919191919192,2.25,0.06484097537251343
0.8191919191919192,2.3000000000000003,0.06490302415277424
0.8191919191919192,2.35,0.06496507293303501
0.8191919191919192,2.4000000000000004,0.06502712171329579
0.8191919191919192,2.45,0.06508917049355656
0.8191919191919192,2.5,0.06515121927381734
0.8191919191919192,2.5500000000000003,0.06521326805407811
0.8191919191919192,2.6,0.0652753168343389
0.8191919191919192,2.6500000000000004,0.06533736561459967
0.8191919191919192,2.7,0.06539941439486045
